Departamento	Total	Hombres	Mujeres
NACIONAL	50.374.478	24.873.329	25.501.149
Antioquia	6.768.388	3.308.881	3.459.507
Atlántico	2.573.591	1.272.647	1.300.944
Bogotá, D.C.	8.281.030	4.014.441	4.266.589
Bolívar	2.195.495	1.097.986	1.097.509
Boyacá	1.284.375	644.652	639.723
Caldas	995.822	486.891	508.931
Caquetá	502.410	250.988	251.422
Cauca	1.426.938	722.675	704.263
Cesar	1.077.770	538.141	539.629
Córdoba	1.813.854	907.978	905.876
Cundinamarca	2.845.668	1.417.728	1.427.940
Chocó	520.296	261.182	259.114
Huila	1.211.163	607.464	603.699
Guajira	1.067.063	528.279	538.784
Magdalena	1.312.428	663.683	648.745
Meta	1.035.256	515.942	519.314
Nariño	1.830.473	918.807	911.666
Norte De Santander	1.402.695	694.634	708.061
Quindío	578.268	283.947	294.321
Risaralda	972.978	473.559	499.419
Santander	2.100.704	1.038.639	1.062.065
Sucre	885.835	448.666	437.169
Tolima	1.423.719	710.444	713.275
Valle	4.804.489	2.325.733	2.478.756
Arauca	273.321	137.040	136.281
Casanare	381.554	193.059	188.495
Putumayo	363.967	183.558	180.409
San Andrés	79.060	39.332	39.728
Amazonas	79.739	39.972	39.767
Guainía	44.134	22.650	21.484
Guaviare	117.494	61.119	56.375
Vaupés	45.367	22.673	22.694
Vichada	79.134	39.939	39.195
