"satisfaction_level" "last_evaluation" "number_project" "average_montly_hours" "time_spend_company" "Work_accident" "left" "promotion_last_5years" "sales" "salary"
0.11 0.89 6 293 4 0 1 0 "support" "low"
0.86 0.93 3 199 3 1 0 0 "sales" "medium"
0.64 0.67 2 223 3 0 0 0 "product_mng" "medium"
0.46 0.5 2 157 3 0 1 0 "IT" "low"
0.91 0.76 3 116 5 0 0 0 "technical" "low"
0.72 0.53 3 179 3 0 0 0 "support" "low"
0.76 0.83 6 293 6 0 1 0 "support" "low"
0.98 0.77 3 191 2 0 0 0 "sales" "medium"
0.36 0.52 2 143 3 0 1 0 "accounting" "medium"
0.15 0.74 6 144 7 0 0 1 "management" "high"
0.99 0.54 4 196 4 1 0 0 "hr" "high"
0.83 0.49 4 218 2 0 0 0 "technical" "low"
0.76 0.58 5 136 3 0 0 0 "technical" "medium"
0.72 0.88 5 216 10 1 0 0 "support" "medium"
0.57 0.7 3 273 6 0 1 0 "support" "low"
0.51 0.91 3 227 2 0 0 0 "technical" "low"
0.96 1 3 231 6 0 0 0 "sales" "medium"
0.69 0.59 3 233 3 0 0 0 "support" "medium"
0.1 0.89 6 247 4 0 1 0 "technical" "low"
0.1 0.84 6 309 4 0 1 0 "support" "low"
0.85 0.65 4 162 2 0 0 0 "technical" "medium"
0.81 0.76 5 198 4 0 0 0 "IT" "medium"
0.38 0.86 6 139 6 0 1 0 "technical" "medium"
0.84 0.54 3 245 3 0 0 0 "sales" "low"
0.82 0.98 4 233 5 0 1 0 "sales" "low"
0.57 0.56 3 224 2 0 0 0 "sales" "high"
0.94 0.73 3 196 3 0 0 0 "hr" "medium"
0.78 0.78 3 252 3 0 0 0 "support" "medium"
0.75 0.37 3 256 3 0 0 0 "product_mng" "medium"
0.97 0.92 3 168 3 0 0 0 "technical" "low"
0.76 0.8 5 217 2 0 0 0 "sales" "medium"
0.88 0.88 5 248 5 0 1 0 "technical" "medium"
1 0.81 3 168 4 0 0 0 "support" "low"
0.51 0.73 3 205 4 0 0 0 "accounting" "high"
0.75 0.69 2 257 2 1 0 0 "product_mng" "low"
0.38 0.81 5 128 3 1 0 0 "accounting" "low"
0.4 0.51 2 145 3 0 1 0 "hr" "low"
0.42 0.46 2 147 3 0 1 0 "sales" "low"
0.93 0.94 4 156 3 1 0 0 "marketing" "low"
0.81 0.93 5 265 6 0 1 0 "technical" "low"
0.85 0.96 2 260 3 0 0 0 "support" "medium"
0.73 0.69 4 161 3 0 0 0 "IT" "low"
0.87 0.94 4 274 5 0 1 0 "IT" "low"
0.52 0.62 5 239 2 0 0 0 "sales" "medium"
0.53 0.61 4 182 3 0 0 0 "technical" "low"
0.59 0.53 5 169 3 0 0 0 "technical" "low"
0.19 0.94 4 196 5 0 0 0 "technical" "low"
0.85 0.65 4 280 3 1 0 0 "IT" "medium"
0.85 0.78 4 106 2 0 0 0 "technical" "low"
0.82 0.65 5 178 7 1 0 0 "sales" "medium"
0.55 0.49 5 240 3 0 0 0 "technical" "high"
0.67 0.61 3 251 2 0 0 0 "marketing" "low"
0.27 0.56 3 301 3 0 1 0 "support" "low"
0.83 0.67 4 139 3 0 0 0 "technical" "medium"
0.7 0.49 4 173 3 0 0 0 "sales" "medium"
0.87 0.82 3 224 3 0 0 0 "technical" "low"
0.8 0.96 3 161 3 0 0 0 "technical" "low"
0.54 0.64 3 190 7 0 0 0 "sales" "medium"
0.96 0.48 4 222 3 0 0 0 "sales" "medium"
0.96 0.37 2 159 6 0 0 0 "RandD" "low"
0.59 0.64 5 269 3 0 0 0 "support" "medium"
0.11 0.91 6 279 4 0 1 0 "sales" "low"
0.72 0.79 4 154 3 0 0 0 "IT" "medium"
0.72 0.66 3 167 3 0 0 0 "accounting" "medium"
0.99 0.94 5 151 3 0 0 0 "product_mng" "medium"
0.36 0.56 2 132 3 0 1 0 "IT" "medium"
0.42 0.56 2 134 3 0 1 0 "support" "low"
0.65 1 4 249 3 0 0 0 "sales" "medium"
0.67 0.49 3 185 3 0 0 0 "support" "low"
0.79 0.96 4 180 3 0 0 0 "technical" "low"
0.58 0.65 5 187 2 0 0 0 "sales" "low"
0.57 0.69 3 212 8 0 0 0 "product_mng" "low"
0.44 0.56 2 156 3 0 1 0 "IT" "medium"
0.52 0.92 4 112 2 0 0 0 "technical" "medium"
0.27 0.64 2 188 3 0 0 0 "hr" "low"
0.83 0.5 6 165 3 0 0 0 "management" "medium"
0.41 0.9 6 155 2 0 0 0 "accounting" "medium"
0.4 0.48 2 139 3 0 1 0 "technical" "low"
0.7 0.88 3 159 2 0 0 0 "IT" "high"
0.51 0.53 3 156 3 0 0 0 "management" "low"
0.36 0.62 4 237 2 0 1 0 "technical" "medium"
0.96 0.97 5 240 2 0 0 0 "sales" "low"
0.93 0.75 3 243 2 0 0 0 "sales" "medium"
