fecha	  y
 JAN86	 65.0000
 FEB86	 83.0000
 MAR86	 93.0000
 APR86	 67.0000
 MAY86	105.0000
 JUN86	 62.0000
 JUL86	172.0000
 AUG86	103.0000
 SEP86	213.0000
 OCT86	127.0000
 NOV86	196.0000
 DEC86	159.0000
 JAN87	 94.0000
 FEB87	 83.0000
 MAR87	211.0000
 APR87	140.0000
 MAY87	243.0000
 JUN87	208.0000
 JUL87	188.0000
 AUG87	245.0000
 SEP87	162.0000
 OCT87	136.0000
 NOV87	218.0000
 DEC87	144.0000
 JAN88	108.0000
 FEB88	205.0000
 MAR88	182.0000
 APR88	112.0000
 MAY88	198.0000
 JUN88	200.0000
 JUL88	171.0000
 AUG88	183.0000
 SEP88	141.0000
 OCT88	218.0000
 NOV88	144.0000
 DEC88	211.0000
 JAN89	125.0000
 FEB89	140.0000
 MAR89	131.0000
 APR89	171.0000
 MAY89	142.0000
 JUN89	165.0000
 JUL89	168.0000
 AUG89	153.0000
 SEP89	116.0000
 OCT89	133.0000
 NOV89	350.0000
 DEC89	141.0000
 JAN90	205.0000
 FEB90	196.0000
 MAR90	 83.0000
 APR90	191.0000
 MAY90	161.0000
 JUN90	219.0000
 JUL90	131.0000
 AUG90	144.0000
 SEP90	223.0000
 OCT90	251.0000
 NOV90	173.0000
 DEC90	185.0000
 JAN91	231.0000
 FEB91	299.0000
 MAR91	129.0000
 APR91	234.0000
 MAY91	235.0000
 JUN91	177.0000
 JUL91	184.0000
 AUG91	267.0000
 SEP91	198.0000
 OCT91	260.0000
 NOV91	237.0000
 DEC91	263.0000
 JAN92	178.0000
 FEB92	258.0000
 MAR92	224.0000
 APR92	265.0000
 MAY92	464.0000
 JUN92	676.0000
 JUL92	532.0000
 AUG92	663.0000
 SEP92	460.0000
 OCT92	375.0000
 NOV92	366.0000
 DEC92	452.0000
 JAN93	404.0000
 FEB93	562.0000
 MAR93	349.0000
 APR93	417.0000
 MAY93	297.0000
 JUN93	192.0000
 JUL93	227.0000
 AUG93	361.0000
 SEP93	226.0000
 OCT93	332.0000
 NOV93	303.0000
 DEC93	171.0000
 JAN94	163.0000
 FEB94	254.0000
 MAR94	278.0000
 APR94	310.0000
 MAY94	238.0000
 JUN94	251.0000
 JUL94	301.0000
 AUG94	281.0000
 SEP94	330.0000
 OCT94	304.0000
 NOV94	249.0000
 DEC94	270.0000
 JAN95	240.0000
 FEB95	286.0000
 MAR95	202.0000
 APR95	196.0000
 MAY95	241.0000
 JUN95	142.0000
 JUL95	257.0000
 AUG95	308.0000
 SEP95	214.0000
 OCT95	233.0000
 NOV95	260.0000
 DEC95	328.0000
 JAN96	111.0000
 FEB96	276.0000
 MAR96	245.0000
 APR96	284.0000
 MAY96	286.0000
 JUN96	191.0000
 JUL96	226.0000
 AUG96	121.0000
 SEP96	139.0000
 OCT96	157.0000
 NOV96	168.0000
 DEC96	395.0000
 JAN97	140.0000
 FEB97	 83.0000
 MAR97	122.0000
 APR97	152.0000
 MAY97	336.0000
 JUN97	225.0000
 JUL97	243.0000
 AUG97	272.0000
 SEP97	316.0000
 OCT97	274.0000
 NOV97	142.0000
 DEC97	129.0000
 JAN98	148.0000
 FEB98	129.0000
 MAR98	 86.0000
 APR98	 90.0000
 MAY98	 86.0000
 JUN98	 82.0000
 JUL98	145.0000
 AUG98	135.0000
 SEP98	127.0000
 OCT98	167.0000
 NOV98	118.0000
 DEC98	205.0000
 JAN99	115.0000
 FEB99	110.0000
 MAR99	120.0000
 APR99	111.0000
 MAY99	123.0000
 JUN99	145.0000
 JUL99	 97.0000
 AUG99	106.0000
 SEP99	122.0000
 OCT99	212.0000
 NOV99	176.0000
 DEC99	135.0000
 JAN00	122.0000
 FEB00	149.0000
 MAR00	160.0000
 APR00	113.0000
 MAY00	180.0000
 JUN00	166.0000
 JUL00	144.0000
 AUG00	184.0000
 SEP00	175.0000
 OCT00	154.0000
 NOV00	116.0000
 DEC00	127.0000
 JAN01	166.0000
 FEB01	176.0000
 MAR01	111.0000
 APR01	154.0000
 MAY01	171.0000
 JUN01	162.0000
 JUL01	160.0000
 AUG01	215.0000
 SEP01	137.0000
 OCT01	228.0000
 NOV01	170.0000
 DEC01	228.0000
 JAN02	243.0000
 FEB02	111.0000
 MAR02	142.0000
 APR02	 60.0000
 MAY02	148.0000
 JUN02	 73.0000
 JUL02	133.0000
 AUG02	131.0000
 SEP02	130.0000
 OCT02	 85.0000
 NOV02	119.0000
 DEC02	135.0000
 JAN03	 68.0000
 FEB03	 95.0000
 MAR03	163.0000
 APR03	160.0000
 MAY03	189.0000
 JUN03	132.0000
